"SSD" "CFU" "LAUREA" "MATERIA" "STUDIO_TOT" "RAPP_CFU" "VOTO" "LEZIONI" "STUDIO_PERS"
"82" "IUS/01" 4 "sigad" "14116" 54 0.54 30 18 30
"28" "SECS-S/01" 5 "siap" "10168" 166 1.328 31 30 126
"1537" "SECS-S/3" 4 "sigad" "14070" 121 1.21 24 95 24
"1589" "SECS-S/05" 5 "sse" "14544" 136 1.088 28 34 84
"1161" "SECS-P/01" 2 "siap" "10152" 102 2.04 28 70 30
"657" "SECS-S/05" 10 "sse" "14540" 213 0.852 25 56 120
"630" "SECS-S/01" 12 "sse" "14452" 348 1.16 27 64 260
"1277" "INF/01" 2 "sigad" "14350" 58 1.16 23 20 4
"828" "MAT/05" 9 "siap" "10150" 160 0.711111111 20 65 70
"1518" "SECS-S/04" 5 "sigad" "14110" 220 1.76 28 46 150
"309" "MAT/06" 10 "sse" "14040" 1004 4.016 23 80 870
"669" "SECS-S/03" 10 "sse" "14456" 147 0.588 30 70 75
"961" "L-LIN/12" 11 "sse" "15484" 160 0.581818182 22 50 90
"267" "MAT/05" 8 "sigad" "14050" 672 3.36 24 48 600
"919" "MAT/06" 10 "sse" "14040" 295 1.18 27 50 245
"1445" "IUS/01" 4 "sigad" "14116" 211 2.11 28 20 176
"1425" "INF/01" 6 "sigad" "14292" 90 0.6 28 36 20
"1290" "SECS-P/08" 5 "sigad" "14204" 138 1.104 22 30 80
"19" "SECS-S/01" 9 "siap" "10182" 157 0.697777778 22 52 105
"1521" "MAT/06" 8 "sigad" "14044" 580 2.9 22 35 525
"945" "MAT/06" 10 "sse" "14040" 282 1.128 24 60 180
"1082" "SECS-S/05" 9 "siap" "10184" 198 0.88 30 70 105
"765" "SECS-S/01" 10 "sse" "14452" 1760 7.04 24 40 1500
"672" "SECS-S/03" 10 "sse" "14456" 130 0.52 30 30 100
"442" "MAT/06" 10 "sse" "14040" 370 1.48 24 40 320
"195" "SECS-S/04" 5 "sigad" "14110" 115 0.92 26 30 80
"264" "MAT/05" 8 "sigad" "14050" 272 1.36 27 48 160
