pilota;indice;primaguida;Scuderia;Tempo;Tempo ora;gp;data
ZONTA;1;;(BAR);0,0009592824074074;0,0010;SPAGNA;7 maggio 2000
ZONTA;1;;(BAR);0,0009232175925926;0,0009;EUROPA;21 maggio 2000
ZONTA;1;;(BAR);0,0009528240740741;0,0010;MONACO (MONTECARLO);4 giugno 2000
ZONTA;1;;(BAR);0,0009229398148148;0,0009;CANADA ;18 giugno 2000
ZONTA;1;;(BAR);0,0008989351851852;0,0009;FRANCIA;2 luglio 2000
ZONTA;1;;(BAR);0,0008292476851852;0,0008;AUSTRIA ;16 luglio 2000
ZONTA;1;;(BAR);0,0012576967592593;0,0013;GERMANIA;30 luglio 2000
ZONTA;1;;(BAR);0,0009290740740741;0,0009;UNGHERIA ;13 agosto 2000
ZONTA;1;;(BAR);0,0013078935185185;0,0013;BELGIAN;27 agosto 2000
ZONTA;1;;(BAR);0,0009876967592593;0,0010;ITALIAN;10 settembre 2000
ZONTA;1;;(BAR);0,0008771296296296;0,0009;USA ;24 settembre 2000
ZONTA;1;;(BAR);0,0011373726851852;0,0011;GIAPPONE ;8 ottobre 2000
ZONTA;1;;(BAR);0,0011476620370370;0,0011;MALESIA ;22 ottobre 2000
FISICHELLA;1;1;(Benetton);0,0010647222222222;0,0011;AUSTRALIA ;12 marzo 2000
FISICHELLA;1;1;(Benetton);0,0008723958333333;0,0009;BRASILE ;26 marzo 2000
FISICHELLA;1;1;(Benetton);0,0010098726851852;0,0010;SANMARINO;9 aprile 2000
FISICHELLA;1;1;(Benetton);0,0010098726851852;0,0010;GRAN BRETAGNA;23 aprile 2000
FISICHELLA;1;1;(Benetton);0,0009556597222222;0,0010;SPAGNA;7 maggio 2000
FISICHELLA;1;1;(Benetton);0,0009108449074074;0,0009;EUROPA;21 maggio 2000
FISICHELLA;1;1;(Benetton);0,0009340625000000;0,0009;MONACO (MONTECARLO);4 giugno 2000
FISICHELLA;1;1;(Benetton);0,0009251388888889;0,0009;CANADA ;18 giugno 2000
FISICHELLA;1;1;(Benetton);0,0008948726851852;0,0009;FRANCIA;2 luglio 2000
FISICHELLA;1;1;(Benetton);0,0008293750000000;0,0008;AUSTRIA ;16 luglio 2000
FISICHELLA;1;1;(Benetton);0,0012399305555556;0,0012;GERMANIA;30 luglio 2000
FISICHELLA;1;1;(Benetton);0,0009098032407407;0,0009;UNGHERIA ;13 agosto 2000
FISICHELLA;1;1;(Benetton);0,0013050462962963;0,0013;BELGIAN;27 agosto 2000
FISICHELLA;1;1;(Benetton);0,0009813541666667;0,0010;ITALIAN;10 settembre 2000
FISICHELLA;1;1;(Benetton);0,0008785532407407;0,0009;USA ;24 settembre 2000
FISICHELLA;1;1;(Benetton);0,0011282291666667;0,0011;GIAPPONE ;8 ottobre 2000
FISICHELLA;1;1;(Benetton);0,0011503125000000;0,0012;MALESIA ;22 ottobre 2000
WURZ;1;;(Benetton);0,0010737847222222;0,0011;AUSTRALIA ;12 marzo 2000
WURZ;1;;(Benetton);0,0008757407407407;0,0009;BRASILE ;26 marzo 2000
WURZ;1;;(Benetton);0,0009986226851852;0,0010;SANMARINO;9 aprile 2000
WURZ;1;;(Benetton);0,0010208912037037;0,0010;GRAN BRETAGNA;23 aprile 2000
WURZ;1;;(Benetton);0,0009607638888889;0,0010;SPAGNA;7 maggio 2000
WURZ;1;;(Benetton);0,0009187268518519;0,0009;EUROPA;21 maggio 2000
WURZ;1;;(Benetton);0,0009360069444444;0,0009;MONACO (MONTECARLO);4 giugno 2000
WURZ;1;;(Benetton);0,0009272337962963;0,0009;CANADA ;18 giugno 2000
WURZ;1;;(Benetton);0,0008959259259259;0,0009;FRANCIA;2 luglio 2000
WURZ;1;;(Benetton);0,0008337731481481;0,0008;AUSTRIA ;16 luglio 2000
WURZ;1;;(Benetton);0,0012504282407407;0,0013;GERMANIA;30 luglio 2000
WURZ;1;;(Benetton);0,0009204745370370;0,0009;UNGHERIA ;13 agosto 2000
WURZ;1;;(Benetton);0,0013125347222222;0,0013;BELGIAN;27 agosto 2000
WURZ;1;;(Benetton);0,0009855324074074;0,0010;ITALIAN;10 settembre 2000
WURZ;1;;(Benetton);0,0008768750000000;0,0009;USA ;24 settembre 2000
WURZ;1;;(Benetton);0,0011267129629630;0,0011;GIAPPONE ;8 ottobre 2000
WURZ;1;;(Benetton);0,0011417129629630;0,0011;MALESIA ;22 ottobre 2000
DINIZ;0;;(Bra/Sauber-Petronas) ;0,0010209606481482;0,0010;GRAN BRETAGNA;23 aprile 2000
DINIZ;0;;(Bra/Sauber-Petronas) ;0,0009192361111111;0,0009;EUROPA;21 maggio 2000
DINIZ;0;;(Bra/Sauber-Petronas) ;0,0009506481481481;0,0010;MONACO (MONTECARLO);4 giugno 2000
BARRICHELLO;1;;(Ferrari);0,0010544212962963;0,0011;AUSTRALIA ;12 marzo 2000
BARRICHELLO;1;;(Ferrari);0,0008638425925926;0,0009;BRASILE ;26 marzo 2000
BARRICHELLO;1;;(Ferrari);0,0009865972222222;0,0010;SANMARINO;9 aprile 2000
BARRICHELLO;1;;(Ferrari);0,0009919328703704;0,0010;GRAN BRETAGNA;23 aprile 2000
BARRICHELLO;1;;(Ferrari);0,0009423148148148;0,0009;SPAGNA;7 maggio 2000
BARRICHELLO;1;;(Ferrari);0,0009054050925926;0,0009;EUROPA;21 maggio 2000
BARRICHELLO;1;;(Ferrari);0,0009307407407407;0,0009;MONACO (MONTECARLO);4 giugno 2000
BARRICHELLO;1;;(Ferrari);0,0009120486111111;0,0009;CANADA ;18 giugno 2000
BARRICHELLO;1;;(Ferrari);0,0008801736111111;0,0009;FRANCIA;2 luglio 2000
BARRICHELLO;1;;(Ferrari);0,0008199537037037;0,0008;AUSTRIA ;16 luglio 2000
BARRICHELLO;1;;(Ferrari);0,0012678703703704;0,0013;GERMANIA;30 luglio 2000
BARRICHELLO;1;;(Ferrari);0,0009065972222222;0,0009;UNGHERIA ;13 agosto 2000
BARRICHELLO;1;;(Ferrari);0,0013014351851852;0,0013;BELGIAN;27 agosto 2000
BARRICHELLO;1;;(Ferrari);0,0009698726851852;0,0010;ITALIAN;10 settembre 2000
BARRICHELLO;1;;(Ferrari);0,0008634259259259;0,0009;USA ;24 settembre 2000
BARRICHELLO;1;;(Ferrari);0,0011149305555556;0,0011;GIAPPONE ;8 ottobre 2000
BARRICHELLO;1;;(Ferrari);0,0011330555555556;0,0011;MALESIA ;22 ottobre 2000
M.SCHUMACHER;1;1;(Ferrari);0,0010541087962963;0,0011;AUSTRALIA ;12 marzo 2000
M.SCHUMACHER;1;1;(Ferrari);0,0008623611111111;0,0009;BRASILE ;26 marzo 2000
M.SCHUMACHER;1;1;(Ferrari);0,0009815393518519;0,0010;SANMARINO;9 aprile 2000
M.SCHUMACHER;1;1;(Ferrari);0,0009972337962963;0,0010;GRAN BRETAGNA;23 aprile 2000
M.SCHUMACHER;1;1;(Ferrari);0,0009371990740741;0,0009;SPAGNA;7 maggio 2000
