"pilota" "primaguida"	"Scuderia"	"Tempoora"	"gp"
"WURZ"		"(Benetton)"	01.28,205	"GRAN BRETAGNA"
"WURZ"		"(Benetton)"	01.23,01	"SPAGNA"
"WURZ"		"(Benetton)"	01.19,378	"EUROPA"
"WURZ"		"(Benetton)"	01.20,871	"MONACO (MONTECARLO)"
"WURZ"		"(Benetton)"	01.20,113	"CANADA "
"WURZ"		"(Benetton)"	01.17,408	"FRANCIA"
"WURZ"		"(Benetton)"	01.12,038	"AUSTRIA "
"WURZ"		"(Benetton)"	01.48,037	"GERMANIA"
"WURZ"		"(Benetton)"	01.19,529	"UNGHERIA "
"WURZ"		"(Benetton)"	01.53,403	"BELGIAN"
"WURZ"		"(Benetton)"	01.25,15	"ITALIAN"
"WURZ"		"(Benetton)"	01.15,762	"USA "
"WURZ"		"(Benetton)"	01.37,348	"GIAPPONE "
"WURZ"		"(Benetton)"	01.38,644	"MALESIA "
"DINIZ"		"(Bra/Sauber-Petronas) "	01.28,211	"GRAN BRETAGNA"
"DINIZ"		"(Bra/Sauber-Petronas) "	01.19,422	"EUROPA"
"DINIZ"		"(Bra/Sauber-Petronas) "	01.22,136	"MONACO (MONTECARLO)"
"BARRICHELLO"		"(Ferrari)"	01.31,102	"AUSTRALIA "
"BARRICHELLO"		"(Ferrari)"	01.14,636	"BRASILE "
"BARRICHELLO"		"(Ferrari)"	01.25,242	"SANMARINO"
"BARRICHELLO"		"(Ferrari)"	01.25,703	"GRAN BRETAGNA"
"BARRICHELLO"		"(Ferrari)"	01.21,416	"SPAGNA"
"BARRICHELLO"		"(Ferrari)"	01.18,227	"EUROPA"
"BARRICHELLO"		"(Ferrari)"	01.20,416	"MONACO (MONTECARLO)"
"BARRICHELLO"		"(Ferrari)"	01.18,801	"CANADA "
"BARRICHELLO"		"(Ferrari)"	01.16,047	"FRANCIA"
"BARRICHELLO"		"(Ferrari)"	01.10,844	"AUSTRIA "
"BARRICHELLO"		"(Ferrari)"	01.49,544	"GERMANIA"
"BARRICHELLO"		"(Ferrari)"	01.18,33	"UNGHERIA "
"BARRICHELLO"		"(Ferrari)"	01.52,444	"BELGIAN"
"BARRICHELLO"		"(Ferrari)"	01.23,797	"ITALIAN"
"BARRICHELLO"		"(Ferrari)"	01.14,60	"USA "
"BARRICHELLO"		"(Ferrari)"	01.36,33	"GIAPPONE "
"BARRICHELLO"		"(Ferrari)"	01.37,896	"MALESIA "
"M.SCHUMACHER"	1	"(Ferrari)"	01.31,075	"AUSTRALIA "
"M.SCHUMACHER"	1	"(Ferrari)"	01.14,508	"BRASILE "
"M.SCHUMACHER"	1	"(Ferrari)"	01.24,805	"SANMARINO"
"M.SCHUMACHER"	1	"(Ferrari)"	01.26,161	"GRAN BRETAGNA"
"M.SCHUMACHER"	1	"(Ferrari)"	01.20,974	"SPAGNA"
"M.SCHUMACHER"	1	"(Ferrari)"	01.17,667	"EUROPA"
"M.SCHUMACHER"	1	"(Ferrari)"	01.19,475	"MONACO (MONTECARLO)"
"M.SCHUMACHER"	1	"(Ferrari)"	01.18,439	"CANADA "
"M.SCHUMACHER"	1	"(Ferrari)"	01.15,632	"FRANCIA"
"M.SCHUMACHER"	1	"(Ferrari)"	01.11,046	"AUSTRIA "
"M.SCHUMACHER"	1	"(Ferrari)"	01.47,063	"GERMANIA"
"M.SCHUMACHER"	1	"(Ferrari)"	01.17,514	"UNGHERIA "
"M.SCHUMACHER"	1	"(Ferrari)"	01.51,552	"BELGIAN"
"M.SCHUMACHER"	1	"(Ferrari)"	01.23,77	"ITALIAN"
"M.SCHUMACHER"	1	"(Ferrari)"	01.14,266	"USA "
"M.SCHUMACHER"	1	"(Ferrari)"	01.35,825	"GIAPPONE "
"M.SCHUMACHER"	1	"(Ferrari)"	01.37,397	"MALESIA "
"HERBERT"	1	"(Jaguar)"	01.33,638	"AUSTRALIA "
"HERBERT"	1	"(Jaguar)"	01.16,25	"BRASILE "
"HERBERT"	1	"(Jaguar)"	01.27,051	"SANMARINO"
"HERBERT"	1	"(Jaguar)"	01.27,461	"GRAN BRETAGNA"
"HERBERT"	1	"(Jaguar)"	01.22,781	"SPAGNA"
"HERBERT"	1	"(Jaguar)"	01.19,638	"EUROPA"
"HERBERT"	1	"(Jaguar)"	01.20,792	"MONACO (MONTECARLO)"
"HERBERT"	1	"(Jaguar)"	01.19,954	"CANADA "
"HERBERT"	1	"(Jaguar)"	01.17,176	"FRANCIA"
"HERBERT"	1	"(Jaguar)"	01.12,238	"AUSTRIA "
"HERBERT"	1	"(Jaguar)"	01.48,078	"GERMANIA"
"HERBERT"	1	"(Jaguar)"	01.19,956	"UNGHERIA "
"HERBERT"	1	"(Jaguar)"	01.52,242	"BELGIAN"
"HERBERT"	1	"(Jaguar)"	01.25,388	"ITALIAN"
"HERBERT"	1	"(Jaguar)"	01.16,225	"USA "
"HERBERT"	1	"(Jaguar)"	01.37,329	"GIAPPONE "
"HERBERT"	1	"(Jaguar)"	01.39,331	"MALESIA "
"IRVINE"		"(Jaguar)"	01.31,514	"AUSTRALIA "
"IRVINE"		"(Jaguar)"	01.15,425	"BRASILE "
"IRVINE"		"(Jaguar)"	01.25,929	"SANMARINO"
"IRVINE"		"(Jaguar)"	01.26,818	"GRAN BRETAGNA"
"IRVINE"		"(Jaguar)"	01.22,37	"SPAGNA"
"IRVINE"		"(Jaguar)"	01.18,703	"EUROPA"
"IRVINE"		"(Jaguar)"	01.20,743	"MONACO (MONTECARLO)"
"IRVINE"		"(Jaguar)"	01.20,50	"CANADA "
"IRVINE"		"(Jaguar)"	01.16,399	"FRANCIA"
"IRVINE"		"(Jaguar)"	01.48,305	"GERMANIA"
"IRVINE"		"(Jaguar)"	01.19,008	"UNGHERIA "
"IRVINE"		"(Jaguar)"	01.52,885	"BELGIAN"
"IRVINE"		"(Jaguar)"	01.25,251	"ITALIAN"
"IRVINE"		"(Jaguar)"	01.16,098	"USA "
"IRVINE"		"(Jaguar)"	01.36,899	"GIAPPONE "
"IRVINE"		"(Jaguar)"	01.38,696	"MALESIA "
"FRENTZEN"		"(Jordan)"	01.31,359	"AUSTRALIA "
"FRENTZEN"		"(Jordan)"	01.15,455	"BRASILE "
"FRENTZEN"		"(Jordan)"	01.25,892	"SANMARINO"
"FRENTZEN"		"(Jordan)"	01.25,706	"GRAN BRETAGNA"
"FRENTZEN"		"(Jordan)"	01.22,135	"SPAGNA"
"FRENTZEN"		"(Jordan)"	01.18,83	"EUROPA"
"FRENTZEN"		"(Jordan)"	01.19,961	"MONACO (MONTECARLO)"
"FRENTZEN"		"(Jordan)"	01.19,483	"CANADA "
"FRENTZEN"		"(Jordan)"	01.16,658	"FRANCIA"
"FRENTZEN"		"(Jordan)"	01.12,043	"AUSTRIA "
"FRENTZEN"		"(Jordan)"	01.49,28	"GERMANIA"
"FRENTZEN"		"(Jordan)"	01.18,523	"UNGHERIA "
"FRENTZEN"		"(Jordan)"	01.51,926	"BELGIAN"
"FRENTZEN"		"(Jordan)"	01.24,786	"ITALIAN"
"FRENTZEN"		"(Jordan)"	01.15,067	"USA "
"FRENTZEN"		"(Jordan)"	01.37,243	"GIAPPONE "
"FRENTZEN"		"(Jordan)"	01.38,988	"MALESIA "
"TRULLI"	1	"(Jordan)"	01.31,504	"AUSTRALIA "
"TRULLI"	1	"(Jordan)"	01.15,627	"BRASILE "
"TRULLI"	1	"(Jordan)"	00.01.26	"SANMARINO"
"TRULLI"	1	"(Jordan)"	01.27,164	"GRAN BRETAGNA"
"TRULLI"	1	"(Jordan)"	01.22,006	"SPAGNA"
"TRULLI"	1	"(Jordan)"	01.18,702	"EUROPA"
"TRULLI"	1	"(Jordan)"	01.19,746	"MONACO (MONTECARLO)"
"TRULLI"	1	"(Jordan)"	01.19,581	"CANADA "
"TRULLI"	1	"(Jordan)"	01.16,669	"FRANCIA"
"TRULLI"	1	"(Jordan)"	01.11,64	"AUSTRIA "
"TRULLI"	1	"(Jordan)"	01.47,833	"GERMANIA"
"TRULLI"	1	"(Jordan)"	01.19,266	"UNGHERIA "
"TRULLI"	1	"(Jordan)"	01.51,419	"BELGIAN"
"TRULLI"	1	"(Jordan)"	01.24,477	"ITALIAN"
"TRULLI"	1	"(Jordan)"	01.15,006	"USA "
"TRULLI"	1	"(Jordan)"	01.37,679	"GIAPPONE "
"TRULLI"	1	"(Jordan)"	01.38,909	"MALESIA "
"COULTHARD"		"(McLaren)"	01.30,91	"AUSTRALIA "
"COULTHARD"		"(McLaren)"	01.14,285	"BRASILE "
"COULTHARD"		"(McLaren)"	01.25,014	"SANMARINO"
"COULTHARD"		"(McLaren)"	01.26,088	"GRAN BRETAGNA"
"COULTHARD"		"(McLaren)"	01.21,422	"SPAGNA"
"COULTHARD"		"(McLaren)"	01.17,529	"EUROPA"
"COULTHARD"		"(McLaren)"	01.19,888	"MONACO (MONTECARLO)"
"COULTHARD"		"(McLaren)"	01.18,537	"CANADA "
"COULTHARD"		"(McLaren)"	01.15,734	"FRANCIA"
"COULTHARD"		"(McLaren)"	01.10,795	"AUSTRIA "
"COULTHARD"		"(McLaren)"	01.45,697	"GERMANIA"
"COULTHARD"		"(McLaren)"	01.17,886	"UNGHERIA "
"COULTHARD"		"(McLaren)"	01.51,587	"BELGIAN"
"COULTHARD"		"(McLaren)"	01.24,29	"ITALIAN"
"COULTHARD"		"(McLaren)"	01.14,392	"USA "
"COULTHARD"		"(McLaren)"	01.36,236	"GIAPPONE "
"COULTHARD"		"(McLaren)"	01.37,889	"MALESIA "
"HAKKINEN"	1	"(McLaren)"	01.30,556	"AUSTRALIA "
"HAKKINEN"	1	"(McLaren)"	01.14,111	"BRASILE "
"HAKKINEN"	1	"(McLaren)"	01.24,714	"SANMARINO"
"HAKKINEN"	1	"(McLaren)"	01.25,741	"GRAN BRETAGNA"
"HAKKINEN"	1	"(McLaren)"	01.21,052	"SPAGNA"
"HAKKINEN"	1	"(McLaren)"	01.17,785	"EUROPA"
"HAKKINEN"	1	"(McLaren)"	01.20,241	"MONACO (MONTECARLO)"
"HAKKINEN"	1	"(McLaren)"	01.18,985	"CANADA "
"HAKKINEN"	1	"(McLaren)"	01.16,05	"FRANCIA"
"HAKKINEN"	1	"(McLaren)"	01.10,41	"AUSTRIA "
"HAKKINEN"	1	"(McLaren)"	01.47,162	"GERMANIA"
"HAKKINEN"	1	"(McLaren)"	01.17,922	"UNGHERIA "
"HAKKINEN"	1	"(McLaren)"	01.50,646	"BELGIAN"
"HAKKINEN"	1	"(McLaren)"	01.23,967	"ITALIAN"
"HAKKINEN"	1	"(McLaren)"	01.14,428	"USA "
"HAKKINEN"	1	"(McLaren)"	01.35,834	"GIAPPONE "
"HAKKINEN"	1	"(McLaren)"	01.37,86	"MALESIA "
"GENE"	1	"(Minardi)"	01.33,261	"AUSTRALIA "
"GENE"	1	"(Minardi)"	01.16,38	"BRASILE "
"GENE"	1	"(Minardi)"	01.28,333	"SANMARINO"
"GENE"	1	"(Minardi)"	01.28,253	"GRAN BRETAGNA"
"GENE"	1	"(Minardi)"	01.23,486	"SPAGNA"
"GENE"	1	"(Minardi)"	01.20,162	"EUROPA"
"GENE"	1	"(Minardi)"	01.23,721	"MONACO (MONTECARLO)"
"GENE"	1	"(Minardi)"	01.21,058	"CANADA "
